# dual multiplier for the CMS Extremal Problem 2 constant C_+(A)
# m = 1 on [0,1], the cells below on [1,T], 0 past T; m even.
# C_+(A) <= sup_x |mcheck(x)|,  mcheck(x) = int e^{2 pi i x t} m(t) dt
# 400 geometric cells (p=2.2) on [1,7]; float sup on a 1e-4 grid (not a proof): 1.107857792
# certified in ARB: C_+(28) <= 1.1079   (certificates/cplus_dual_cert.py)
A = 28
T = 7
cell 2358235/524288 1185575/262144 656119/1048576
cell 1185575/262144 4768229/1048576 -59303/65536
cell 4768229/1048576 4794257/1048576 101029/1048576
cell 4794257/1048576 150637/32768 1
cell 150637/32768 2423305/524288 -282923/1048576
cell 2423305/524288 4872935/1048576 -1116981/1048576
cell 4872935/1048576 153105/32768 1
cell 153105/32768 1231471/262144 248747/524288
cell 1231471/262144 4952507/1048576 -162335/524288
cell 4952507/1048576 4979229/1048576 -279277/524288
cell 4979229/1048576 5006051/1048576 219843/1048576
cell 5006051/1048576 5032973/1048576 1
cell 5032973/1048576 2529997/524288 135957/1048576
cell 2529997/524288 5087115/1048576 -747713/1048576
cell 5087115/1048576 5114335/1048576 -223783/524288
cell 5114335/1048576 5141655/1048576 1
cell 5141655/1048576 5169075/1048576 1
cell 5169075/1048576 5196595/1048576 1
cell 5196595/1048576 5224215/1048576 -2342969/1048576
cell 5224215/1048576 5251935/1048576 453899/524288
cell 5251935/1048576 5279755/1048576 -1491943/1048576
cell 5279755/1048576 5307675/1048576 1
cell 5307675/1048576 333481/65536 -131149/1048576
cell 333481/65536 670477/131072 -201259/524288
cell 670477/131072 5392037/1048576 -202049/524288
cell 5392037/1048576 2710179/524288 -428471/524288
cell 2710179/524288 1362195/262144 424243/524288
cell 1362195/262144 2738651/524288 -57079/1048576
cell 2738651/524288 5505925/1048576 -26683/262144
cell 5505925/1048576 691831/131072 -410021/1048576
cell 691831/131072 347717/65536 384337/524288
cell 347717/65536 5592397/1048576 -591655/1048576
cell 5592397/1048576 2810711/524288 98635/262144
cell 2810711/524288 5650549/1048576 -483075/1048576
cell 5650549/1048576 177493/32768 305463/524288
cell 177493/32768 356819/65536 -365209/1048576
cell 356819/65536 5738533/1048576 -16479/524288
cell 5738533/1048576 5768063/1048576 28645/262144
cell 5768063/1048576 5797695/1048576 99715/524288
cell 5797695/1048576 5827427/1048576 -538003/1048576
cell 5827427/1048576 5857261/1048576 151807/262144
cell 5857261/1048576 1471799/262144 -22771/65536
cell 1471799/262144 5917233/1048576 521/131072
cell 5917233/1048576 5947371/1048576 134715/524288
cell 5947371/1048576 2988805/524288 -240073/1048576
cell 2988805/524288 6007951/1048576 9845/1048576
cell 6007951/1048576 3019197/524288 16789/65536
cell 3019197/524288 3034469/524288 -355043/1048576
cell 3034469/524288 47653/8192 43837/131072
cell 47653/8192 6130331/1048576 -305467/1048576
cell 6130331/1048576 6161181/1048576 157257/1048576
cell 6161181/1048576 1548033/262144 37723/262144
